LGA,District,Districtcode,no_eas,wh
Banjul,Banjul South,10,18,0.0043924
Banjul,Banjul Central,11,31,0.0075647
Banjul,Banjul North,12,25,0.0061005
Kanifing,Bakau,20,58,0.0141532
Kanifing,Jeshwang,21,139,0.033919
Kanifing,Serrekunda Central,22,158,0.0385554
Kanifing,Serrekunda East,23,227,0.0553929
Kanifing,Serrekunda West,24,191,0.0466081
Brikama,Kombo North,30,704,0.1717911
Brikama,Kombo South,31,226,0.0551489
Brikama,Kombo Central,32,300,0.0732064
Brikama,Kombo East,33,93,0.022694
Brikama,Foni Bintang,35,39,0.0095168
Brikama,Foni Kansalla,36,30,0.0073206
Brikama,Foni Brefet,34,36,0.0087848
Brikama,Foni Bundali,37,20,0.0048804
Brikama,Foni Jarrol,38,18,0.0043924
Mansakonko,Jarra West,43,59,0.0143973
Mansakonko,Kiang West,40,41,0.0100049
Mansakonko,Kiang Cental,41,25,0.0061005
Mansakonko,Kiang East,42,19,0.0046364
Mansakonko,Jarra Central,44,21,0.0051245
Mansakonko,Jarra East,45,39,0.0095168
Kerewan,Lower Niumi,50,125,0.0305027
Kerewan,Lower Badibu,53,41,0.0100049
Kerewan,Illiasa,55,109,0.0265983
Kerewan,Upper Niumi,51,74,0.0180576
Kerewan,Jokadu,52,52,0.0126891
Kerewan,Central Badibu,54,43,0.0104929
Kerewan,Sabach Sanjal,56,49,0.0119571
Kuntaur,Lower Saloum,60,36,0.0087848
Kuntaur,Niani,63,73,0.0178136
Kuntaur,Upper Saloum,61,46,0.011225
Kuntaur,Nianija,62,24,0.0058565
Kuntaur,Sami,64,58,0.0141532
Janjanbureh,Lower Fuladu West,73,95,0.023182
Janjanbureh,Upper Fuladu West,74,104,0.0253782
Janjanbureh,Janjanbureh,75,7,0.0017082
Janjanbureh,Niamina Dankunku,70,15,0.0036603
Janjanbureh,Niamina West,71,20,0.0048804
Janjanbureh,Niamina East,72,56,0.0136652
Basse,Jimara,80,99,0.0241581
Basse,Basse,81,119,0.0290386
Basse,Tumana,82,85,0.0207418
Basse,Kantora,83,86,0.0209858
Basse,Wuli East,85,55,0.0134212
Basse,Sandu,86,60,0.0146413
Basse,Wuli West,84,50,0.0122011
